Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
189.5,2,Colorado,9,43,41,,Jul 08,,,,,,,,Gravis-2
174.5,4,Colorado,9,40,39,,Jun 24,,,,,,,,YouGov-4
137.0,31,Colorado,9,45,37,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Colorado,9,44,39,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Colorado,9,51,47,,Jan 01,,,,,,,,Election 2012-1
247.5,4,Connecticut,7,50,35,09,Sep 05,,,,,,,,Emerson College-4
242.0,21,Connecticut,7,46,40,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Connecticut,7,47,39,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Connecticut,7,44,33,12,Sep 01,,,,,,,,SurveyMonkey-24
155.0,5,Connecticut,7,41,36,06,Jun 05,,,,,,,,Quinnipiac U.-5
137.0,31,Connecticut,7,45,40,,May 31,,,,,,,,Morning Consult-31
101.5,2,Connecticut,7,48,40,,Apr 11,,,,,,,,Emerson Coll.-2
 46.0,29,Connecticut,7,47,36,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Connecticut,7,58,40,,Jan 01,,,,,,,,Election 2012-1
137.0,31,D.C.,3,66,20,,May 31,,,,,,,,Morning Consult-31
 46.0,29,D.C.,3,70,17,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,D.C.,3,91,7,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Delaware,3,46,24,,Sep 08,,,,,,,,Ipsos-21
233.5,24,Delaware,3,43,33,12,Sep 01,,,,,,,,SurveyMonkey-24
204.0,5,Delaware,3,42,32,,Jul 24,,,,,,,,Fairleigh Dickinson U.-5
137.0,31,Delaware,3,45,39,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Delaware,3,47,38,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Delaware,3,59,40,,Jan 01,,,,,,,,Election 2012-1
253.5,6,Florida,29,44,47,06,Sep 12,,,,,,,,Opinion Research-6
252.0,3,Florida,29,44,42,05,Sep 09,,,,,,,,YouGov-3
251.5,2,Florida,29,42,46,03,Sep 08,,,,,,,,JMC Analytics-2
249.0,3,Florida,29,43,44,05,Sep 06,,,,,,,,PPP-3
249.0,7,Florida,29,47,47,,Sep 08,,,,,,,,Ipsos-7
246.5,10,Florida,29,43,43,08,Sep 07,,,,,,,,Quinnipiac U.-10
242.0,7,Florida,29,48,45,,Sep 01,,,,,,,,Ipsos-7
236.0,3,Florida,29,44,42,06,Aug 24,,,,,,,,Mason Dixon-3
233.5,4,Florida,29,41,43,08,Aug 22,,,,,,,,Florida Atlantic Univ.-4
233.5,24,Florida,29,42,40,10,Sep 01,,,,,,,,SurveyMonkey-24
229.0,5,Florida,29,52,38,08,Aug 18,,,,,,,,Saint Leo U.-5
226.5,4,Florida,29,48,39,06,Aug 15,,,,,,,,Monmouth U.-4
224.0,3,Florida,29,45,40,05,Aug 12,,,,,,,,YouGov-3
223.0,1,Florida,29,45,44,06,Aug 10,,,,,,,,Opinion Savvy-1
220.0,7,Florida,29,41,36,09,Aug 10,,,,,,,,Marist Coll.-7
219.0,3,Florida,29,46,43,,Aug 07,,,,,,,,PPP-3
216.0,9,Florida,29,43,43,07,Aug 07,,,,,,,,Quinnipiac U.-9
215.0,3,Florida,29,43,39,04,Aug 03,,,,,,,,Suffolk U.-3
191.5,2,Florida,29,42,47,02,Jul 10,,,,,,,,JMC Analytics-2
190.0,7,Florida,29,41,36,07,Jul 11,,,,,,,,Marist Coll.-7
187.5,12,Florida,29,36,41,07,Jul 11,,,,,,,,Quinnipiac U.-12
178.0,3,Florida,29,46,42,02,Jun 27,,,,,,,,SurveyUSA-3
174.5,4,Florida,29,44,41,,Jun 24,,,,,,,,YouGov-4
165.5,12,Florida,29,42,36,07,Jun 19,,,,,,,,Quinnipiac U.-12
155.5,4,Florida,29,40,41,04,Jun 05,,,,,,,,PPP-4
153.0,3,Florida,29,45,42,,Jun 02,,,,,,,,Mason-Dixon-3
138.5,2,Florida,29,46,42,,May 18,,,,,,,,Gravis-2
138.5,4,Florida,29,43,42,,May 19,,,,,,,,YouGov-4
137.0,31,Florida,29,43,42,,May 31,,,,,,,,Morning Consult-31
123.5,12,Florida,29,43,42,,May 08,,,,,,,,Quinnipiac U.-12
 67.0,7,Florida,29,49,41,,Mar 10,,,,,,,,Marist Coll.-7
 65.0,3,Florida,29,44,45,,Mar 06,,,,,,,,SurveyUSA-3
 64.0,5,Florida,29,50,43,,Mar 06,,,,,,,,Opinion Rsearch.-5
 55.0,1,Florida,29,44,46,,Feb 24,,,,,,,,PPP-1
 46.0,29,Florida,29,43,43,,Feb 29,,,,,,,,Morning Consult-29
 33.5,8,Florida,29,45,38,,Feb 06,,,,,,,,Florida Southern Coll.-8
 16.5,4,Florida,29,44,47,,Jan 18,,,,,,,,Florida Atlantic U.-4
  1.0,1,Florida,29,50,49,,Jan 01,,,,,,,,Election 2012-1
258.0,1,Georgia,16,42,46,10,Sep 14,,,,,,,,Opinion Savvy-1
255.0,5,Georgia,16,39,45,06,Sep 13,,,,,,,,Emerson Coll.-5
251.0,3,Georgia,16,42,44,10,Sep 08,,,,,,,,Marist Coll.-3
245.5,14,Georgia,16,38,48,,Sep 08,,,,,,,,Ipsos-14
238.5,14,Georgia,16,41,47,,Sep 01,,,,,,,,Ipsos-14
233.5,24,Georgia,16,39,40,12,Sep 01,,,,,,,,SurveyMonkey-24
230.0,1,Georgia,16,43,43,11,Aug 17,,,,,,,,Opinion Savvy-1
224.0,3,Georgia,16,41,45,05,Aug 12,,,,,,,,YouGov-3
219.5,2,Georgia,16,44,37,07,Aug 07,,,,,,,,JMC Analytics-2
219.0,5,Georgia,16,39,43,08,Aug 08,,,,,,,,Gravis-5
215.5,4,Georgia,16,41,38,11,Aug 04,,,,,,,,Abt SRBI-4
212.0,3,Georgia,16,42,46,05,Jul 31,,,,,,,,SurveyUSA-3
149.5,4,Georgia,16,40,49,06,May 30,,,,,,,,PPP-4
137.0,31,Georgia,16,43,42,,May 31,,,,,,,,Morning Consult-31
136.0,1,Georgia,16,41,44,,May 15,,,,,,,,Opinion Savvy-1
131.5,4,Georgia,16,41,45,,May 12,,,,,,,,Abt SRBI-4
 53.5,2,Georgia,16,41,50,,Feb 23,,,,,,,,SurveyUSA-2
 46.0,29,Georgia,16,39,45,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Georgia,16,45,53,,Jan 01,,,,,,,,Election 2012-1
233.5,24,Hawaii,4,51,25,07,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Hawaii,4,50,31,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Hawaii,4,54,29,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Hawaii,4,71,28,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Idaho,4,30,56,,Sep 08,,,,,,,,Ipsos-21
237.5,14,Idaho,4,23,44,13,Aug 31,,,,,,,,Dan Jones-14
235.0,21,Idaho,4,28,58,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Idaho,4,25,44,19,Sep 01,,,,,,,,SurveyMonkey-24
192.5,12,Idaho,4,23,44,,Jul 16,,,,,,,,Dan Jones-12
137.0,31,Idaho,4,34,45,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Idaho,4,32,51,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Idaho,4,33,65,,Jan 01,,,,,,,,Election 2012-1
249.0,7,Illinois,20,52,34,,Sep 08,,,,,,,,Ipsos-7
242.0,7,Illinois,20,50,37,,Sep 01,,,,,,,,Ipsos-7
233.5,24,Illinois,20,45,31,12,Sep 01,,,,,,,,SurveyMonkey-24
197.0,3,Illinois,20,51,34,07,Jul 16,,,,,,,,Victory Research-3
137.0,31,Illinois,20,48,35,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Illinois,20,51,33,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Illinois,20,57,41,,Jan 01,,,,,,,,Election 2012-1
251.0,3,Indiana,11,36,43,11,Sep 08,,,,,,,,Howey-DePauw-3
245.5,14,Indiana,11,32,56,,Sep 08,,,,,,,,Ipsos-14
238.5,14,Indiana,11,32,56,,Sep 01,,,,,,,,Ipsos-14
233.5,24,Indiana,11,30,46,13,Sep 01,,,,,,,,SurveyMonkey-24
227.5,4,Indiana,11,36,47,10,Aug 16,,,,,,,,Monmouth U.-4
137.0,31,Indiana,11,37,45,,May 31,,,,,,,,Morning Consult-31
118.0,3,Indiana,11,41,48,,Apr 28,,,,,,,,Marist Coll.-3
110.5,4,Indiana,11,39,47,,Apr 21,,,,,,,,Howey Politics-4
 46.0,29,Indiana,11,41,42,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Indiana,11,44,54,,Jan 01,,,,,,,,Election 2012-1
257.0,3,Iowa,6,37,45,08,Sep 14,,,,,,,,Monmouth U.-3
251.0,3,Iowa,6,39,40,10,Sep 08,,,,,,,,RABA Research-3
244.5,2,Iowa,6,39,44,08,Sep 01,,,,,,,,Emerson College-2
243.5,2,Iowa,6,45,43,,Aug 31,,,,,,,,PPP-2
242.0,21,Iowa,6,41,44,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Iowa,6,41,44,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Iowa,6,36,40,16,Sep 01,,,,,,,,SurveyMonkey-24
231.0,3,Iowa,6,40,40,07,Aug 19,,,,,,,,YouGov-3
228.0,21,Iowa,6,43,40,,Aug 25,,,,,,,,Ipsos-21
225.5,8,Iowa,6,41,39,12,Aug 16,,,,,,,,Quinnipiac U.-8
222.0,3,Iowa,6,36,37,06,Aug 10,,,,,,,,Suffolk U.-3
218.0,5,Iowa,6,35,35,12,Aug 07,,,,,,,,Marist Coll.-5
196.0,3,Iowa,6,39,40,03,Jul 15,,,,,,,,YouGov-3
191.5,4,Iowa,6,42,44,06,Jul 11,,,,,,,,Monmouth U.-4
189.5,2,Iowa,6,42,40,08,Jul 08,,,,,,,,Gravis-2
189.5,6,Iowa,6,37,37,07,Jul 10,,,,,,,,Marist Coll.-6
178.0,5,Iowa,6,44,31,06,Jun 28,,,,,,,,Loras Coll.-5
174.5,2,Iowa,6,41,39,,Jun 23,,,,,,,,PPP-2
163.0,5,Iowa,6,44,41,,Jun 13,,,,,,,,PPP-5
137.0,31,Iowa,6,40,40,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Iowa,6,45,38,,Feb 29,,,,,,,,Morning Consult-29
  9.0,3,Iowa,6,42,42,,Jan 10,,,,,,,,PPP-3
  4.5,6,Iowa,6,48,40,,Jan 07,,,,,,,,Marist Coll.-6
  1.0,1,Iowa,6,52,47,,Jan 01,,,,,,,,Election 2012-1
252.5,6,Kansas,6,36,48,08,Sep 11,,,,,,,,SurveyUSA-6
242.0,21,Kansas,6,38,52,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Kansas,6,37,52,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Kansas,6,30,43,17,Sep 01,,,,,,,,SurveyMonkey-24
228.0,21,Kansas,6,37,48,,Aug 25,,,,,,,,Ipsos-21
218.0,5,Kansas,6,39,44,08,Aug 07,,,,,,,,SurveyUSA-5
198.0,11,Kansas,6,27,44,,Jul 21,,,,,,,,Fort Hays State U.-11
191.5,4,Kansas,6,36,47,08,Jul 11,,,,,,,,SurveyUSA-4
137.0,31,Kansas,6,35,46,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Kansas,6,37,43,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Kansas,6,38,60,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Kentucky,8,37,53,,Sep 08,,,,,,,,Ipsos-21
234.5,22,Kentucky,8,42,46,,Sep 01,,,,,,,,Ipsos-22
233.5,24,Kentucky,8,29,52,07,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Kentucky,8,35,49,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Kentucky,8,38,46,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Kentucky,8,38,61,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Louisiana,8,33,60,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Louisiana,8,37,57,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Louisiana,8,33,49,09,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Louisiana,8,33,51,,May 31,,,,,,,,Morning Consult-31
126.5,2,Louisiana,8,36,52,,May 06,,,,,,,,JMC Analytics-2
 46.0,29,Louisiana,8,35,50,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Louisiana,8,41,58,,Jan 01,,,,,,,,Election 2012-1
251.0,7,Maine,4,42,39,09,Sep 10,,,,,,,,SurveyUSA-7
247.5,4,Maine,4,44,35,12,Sep 05,,,,,,,,Emerson College-4
242.0,21,Maine,4,52,33,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Maine,4,42,42,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Maine,4,37,34,15,Sep 01,,,,,,,,SurveyMonkey-24
219.0,5,Maine,4,43,33,10,Aug 08,,,,,,,,Gravis-5
170.0,7,Maine,4,42,35,,Jun 21,,,,,,,,U. of New Hampshire-7
137.0,31,Maine,4,39,41,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Maine,4,41,42,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Maine,4,56,41,,Jan 01,,,,,,,,Election 2012-1
245.5,14,Maryland,10,54,30,,Sep 08,,,,,,,,Ipsos-14
237.0,13,Maryland,10,54,25,06,Aug 30,,,,,,,,OpinionWorks-13
235.0,21,Maryland,10,52,32,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Maryland,10,54,27,09,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Maryland,10,51,33,,May 31,,,,,,,,Morning Consult-31
107.0,3,Maryland,10,61,28,,Apr 17,,,,,,,,PPP-3
 98.0,5,Maryland,10,63,27,,Apr 09,,,,,,,,Marist Coll.-5
 92.0,5,Maryland,10,63,28,,Apr 03,,,,,,,,Washington Post-5
 46.0,29,Maryland,10,52,32,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Maryland,10,62,37,,Jan 01,,,,,,,,Election 2012-1
252.5,4,Massachusetts,11,54,28,09,Sep 10,,,,,,,,MassINC-4
248.0,3,Massachusetts,11,50,33,09,Sep 05,,,,,,,,Emerson College-3
245.5,14,Massachusetts,11,53,30,,Sep 08,,,,,,,,Ipsos-14
238.5,14,Massachusetts,11,48,32,,Sep 01,,,,,,,,Ipsos-14
233.5,24,Massachusetts,11,48,29,11,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Massachusetts,11,50,33,,May 31,,,,,,,,Morning Consult-31
124.5,4,Massachusetts,11,55,31,,May 05,,,,,,,,Suffolk U.-4
 96.5,10,Massachusetts,11,62,36,,Apr 10,,,,,,,,Western New England U.-10
 46.0,29,Massachusetts,11,49,37,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Massachusetts,11,61,38,,Jan 01,,,,,,,,Election 2012-1
255.5,4,Michigan,16,38,35,10,Sep 13,,,,,,,,EPIC MRA-4
245.5,14,Michigan,16,43,41,,Sep 08,,,,,,,,Ipsos-14
239.5,4,Michigan,16,45,40,07,Aug 28,,,,,,,,Emerson Coll.-4
238.5,14,Michigan,16,42,42,,Sep 01,,,,,,,,Ipsos-14
236.0,3,Michigan,16,44,37,05,Aug 24,,,,,,,,Suffolk U.-3
233.5,24,Michigan,16,39,38,13,Sep 01,,,,,,,,SurveyMonkey-24
214.5,6,Michigan,16,43,32,08,Aug 04,,,,,,,,EPIC MRA-6
213.0,3,Michigan,16,41,32,08,Aug 01,,,,,,,,DetroitNews/Glengariff-3
196.0,3,Michigan,16,42,39,,Jul 15,,,,,,,,YouGov-3
195.0,5,Michigan,16,34,29,,Jul 15,,,,,,,,Marketing Resource Grp.-5
146.0,3,Michigan,16,43,39,,May 26,,,,,,,,Glengariff Group-3
137.0,31,Michigan,16,42,39,,May 31,,,,,,,,Morning Consult-31
 83.5,2,Michigan,16,49,38,,Mar 24,,,,,,,,SurveyUSA-2
 80.5,4,Michigan,16,47,37,,Mar 22,,,,,,,,EPIC-MRA-4
 62.0,3,Michigan,16,52,36,,Mar 03,,,,,,,,Marist Coll.-3
 46.0,29,Michigan,16,42,41,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Michigan,16,54,45,,Jan 01,,,,,,,,Election 2012-1
245.5,14,Minnesota,10,42,31,,Sep 08,,,,,,,,Ipsos-14
238.5,14,Minnesota,10,42,33,,Sep 01,,,,,,,,Ipsos-14
233.5,24,Minnesota,10,41,34,15,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Minnesota,10,45,35,,May 31,,,,,,,,Morning Consult-31
117.0,3,Minnesota,10,48,35,,Apr 27,,,,,,,,Star Tribune-3
 46.0,29,Minnesota,10,44,39,,Feb 29,,,,,,,,Morning Consult-29
 19.0,3,Minnesota,10,43,38,,Jan 20,,,,,,,,Mason-Dixon-3
  1.0,1,Minnesota,10,53,45,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Mississippi,6,35,58,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Mississippi,6,30,59,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Mississippi,6,43,46,04,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Mississippi,6,33,51,,May 31,,,,,,,,Morning Consult-31
 89.0,3,Mississippi,6,43,46,,Mar 30,,,,,,,,Mason-Dixon-3
 46.0,29,Mississippi,6,32,54,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Mississippi,6,44,56,,Jan 01,,,,,,,,Election 2012-1
255.0,5,Missouri,10,34,47,07,Sep 13,,,,,,,,Emerson Coll.-5
245.5,14,Missouri,10,34,53,,Sep 08,,,,,,,,Ipsos-14
239.5,2,Missouri,10,41,47,,Aug 27,,,,,,,,PPP-2
238.5,14,Missouri,10,35,51,,Sep 01,,,,,,,,Ipsos-14
233.5,4,Missouri,10,43,44,08,Aug 22,,,,,,,,Monmouth U.-4
233.5,24,Missouri,10,34,43,14,Sep 01,,,,,,,,SurveyMonkey-24
221.5,2,Missouri,10,42,45,,Aug 09,,,,,,,,PPP-2
205.5,2,Missouri,10,41,40,09,Jul 24,,,,,,,,Mason Dixon-2
204.0,5,Missouri,10,37,47,08,Jul 24,,,,,,,,SurveyUSA-5
193.0,1,Missouri,10,36,46,07,Jul 11,,,,,,,,PPP-1
137.0,31,Missouri,10,37,45,,May 31,,,,,,,,Morning Consult-31
 66.5,8,Missouri,10,38,43,,Mar 10,,,,,,,,Fort Hays State U.-8
 46.0,29,Missouri,10,38,45,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Missouri,10,44,54,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Montana,3,30,60,,Sep 08,,,,,,,,Ipsos-21
233.5,24,Montana,3,31,44,14,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Montana,3,36,45,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Montana,3,35,47,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Montana,3,41,55,,Jan 01,,,,,,,,Election 2012-1
242.0,21,Nebraska,5,28,56,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Nebraska,5,38,45,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Nebraska,5,32,42,15,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Nebraska,5,35,48,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Nebraska,5,35,48,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Nebraska,5,38,61,,Jan 01,,,,,,,,Election 2012-1
256.0,3,Nevada,6,42,44,08,Sep 13,,,,,,,,Monmouth U.-3
251.0,3,Nevada,6,41,42,08,Sep 08,,,,,,,,Marist Coll.-3
250.5,2,Nevada,6,45,42,,Sep 07,,,,,,,,PPP-2
242.0,21,Nevada,6,43,41,,Sep 08,,,,,,,,Ipsos-21
235.0,21,Nevada,6,43,35,,Sep 01,,,,,,,,Ipsos-21
233.5,24,Nevada,6,40,37,12,Sep 01,,,,,,,,SurveyMonkey-24
229.0,3,Nevada,6,44,42,05,Aug 17,,,,,,,,Suffolk U.-3
216.5,4,Nevada,6,43,41,04,Aug 05,,,,,,,,YouGov-4
212.0,3,Nevada,6,41,40,,Jul 31,,,,,,,,Rasmussen-3
205.0,3,Nevada,6,38,43,,Jul 24,,,,,,,,Rasmussen-3
190.5,4,Nevada,6,45,41,05,Jul 10,,,,,,,,Monmouth U.-4
137.0,31,Nevada,6,44,40,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Nevada,6,44,42,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Nevada,6,52,46,,Jan 01,,,,,,,,Election 2012-1
251.0,3,New Hampshire,4,39,37,15,Sep 08,,,,,,,,Marist Coll.-3
248.0,3,New Hampshire,4,42,37,14,Sep 05,,,,,,,,Emerson College-3
243.5,2,New Hampshire,4,46,41,,Aug 31,,,,,,,,PPP-2
242.0,21,New Hampshire,4,49,36,,Sep 08,,,,,,,,Ipsos-21
240.0,3,New Hampshire,4,46,40,,Aug 28,,,,,,,,PPP-3
237.0,9,New Hampshire,4,43,32,12,Aug 28,,,,,,,,U. of New Hampshire-9
235.0,21,New Hampshire,4,44,45,,Sep 01,,,,,,,,Ipsos-21
233.5,24,New Hampshire,4,40,34,14,Sep 01,,,,,,,,SurveyMonkey-24
224.0,3,New Hampshire,4,45,36,,Aug 12,,,,,,,,YouGov-3
219.0,3,New Hampshire,4,50,37,,Aug 07,,,,,,,,PPP-3
202.0,3,New Hampshire,4,39,48,,Jul 21,,,,,,,,Inside Sources-3
195.5,10,New Hampshire,4,37,37,10,Jul 18,,,,,,,,U. of New Hampshire-10
178.0,5,New Hampshire,4,47,42,,Jun 28,,,,,,,,ARG-5
174.5,2,New Hampshire,4,43,39,,Jun 23,,,,,,,,PPP-2
147.5,4,New Hampshire,4,44,44,,May 28,,,,,,,,Franklin Pierce U.-4
142.0,3,New Hampshire,4,41,43,,May 22,,,,,,,,PPP-3
137.0,31,New Hampshire,4,41,41,,May 31,,,,,,,,Morning Consult-31
134.5,4,New Hampshire,4,44,42,,May 15,,,,,,,,MassINC-4
