Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
220.0,7,Colorado,,53,38,,Aug 10,,,,,,,,Marist Coll.-7
192.5,4,Colorado,,48,35,,Jul 12,,,,,,,,Monmouth U.-4
192.5,4,Colorado,,51,36,,Jul 12,,,,,,,,Fox News-4
190.0,7,Colorado,,53,38,,Jul 11,,,,,,,,Marist Coll.-7
  1.0,1,Colorado,,48,47,,Jan 01,,,,,,,,2010 Election results-1
247.5,4,Connecticut,,54,33,,Sep 05,,,,,,,,Emerson College-4
155.0,5,Connecticut,,60,30,,Jun 05,,,,,,,,Quinnipiac U.-5
  1.0,1,Connecticut,,53,45,,Jan 01,,,,,,,,2010 Election results-1
253.5,6,Florida,,43,54,,Sep 12,,,,,,,,Opinion Research-6
251.5,2,Florida,,38,43,,Sep 08,,,,,,,,JMC Analytics-2
249.0,3,Florida,,37,40,,Sep 06,,,,,,,,PPP-3
247.5,8,Florida,,43,50,,Sep 07,,,,,,,,Quinnipiac U.-8
236.0,3,Florida,,43,46,,Aug 24,,,,,,,,Mason Dixon-3
233.5,4,Florida,,39,44,,Aug 22,,,,,,,,Florida Atlantic Univ.-4
229.0,5,Florida,,38,46,,Aug 18,,,,,,,,Saint Leo U.-5
226.5,4,Florida,,43,48,,Aug 15,,,,,,,,Monmouth U.-4
223.0,1,Florida,,43,45,,Aug 10,,,,,,,,Opinion Savvy-1
220.0,7,Florida,,43,49,,Aug 10,,,,,,,,Marist Coll.-7
219.0,3,Florida,,40,42,,Aug 07,,,,,,,,PPP-3
216.0,9,Florida,,45,48,,Aug 07,,,,,,,,Quinnipiac U.-9
215.0,3,Florida,,33,46,,Aug 03,,,,,,,,Suffolk U.-3
190.0,7,Florida,,44,47,,Jul 11,,,,,,,,Marist Coll.-7
187.5,12,Florida,,37,50,,Jul 11,,,,,,,,Quinnipiac U.-12
178.0,3,Florida,,43,43,,Jun 27,,,,,,,,SurveyUSA-3
167.5,2,Florida,,42,41,,Jun 16,,,,,,,,PPP-2
165.5,12,Florida,,40,47,,Jun 19,,,,,,,,Quinnipiac U.-12
155.5,4,Florida,,44,43,,Jun 05,,,,,,,,PPP-4
 80.5,4,Florida,,41,48,,Mar 22,,,,,,,,PPP-4
 64.0,3,Florida,,38,50,,Mar 05,,,,,,,,Mason-Dixon-3
  1.0,1,Florida,,20,49,,Jan 01,,,,,,,,2010 Election results-1
258.0,1,Georgia,,34,47,,Sep 14,,,,,,,,Opinion Savvy-1
255.0,5,Georgia,,32,48,,Sep 13,,,,,,,,Emerson Coll.-5
251.0,3,Georgia,,38,53,,Sep 08,,,,,,,,Marist Coll.-3
219.5,2,Georgia,,30,39,,Aug 07,,,,,,,,JMC Analytics-2
215.5,4,Georgia,,42,48,,Aug 04,,,,,,,,Atlanta Journal/Abt SRBI-4
212.0,3,Georgia,,39,48,,Jul 31,,,,,,,,SurveyUSA-3
149.5,4,Georgia,,35,47,,May 30,,,,,,,,PPP-4
  1.0,1,Georgia,,39,59,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Hawaii,,76,21,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Idaho,,23,73,,Jan 01,,,,,,,,2010 Election results-1
 90.5,2,Illinois,,43,40,,Mar 31,,,,,,,,GS Strategy Group-2
  1.0,1,Illinois,,46,48,,Jan 01,,,,,,,,2010 Election results-1
227.5,4,Indiana,,48,41,,Aug 16,,,,,,,,Monmouth U.-4
225.0,5,Indiana,,54,36,,Aug 14,,,,,,,,Global Strategy-5
  1.0,1,Indiana,,40,55,,Jan 01,,,,,,,,2010 Election results-1
257.0,3,Iowa,,39,56,,Sep 14,,,,,,,,Monmouth U.-3
251.0,3,Iowa,,37,50,,Sep 08,,,,,,,,RABA Research-3
244.5,2,Iowa,,40,51,,Sep 01,,,,,,,,Emerson College-2
243.5,2,Iowa,,43,49,,Aug 31,,,,,,,,PPP-2
231.0,3,Iowa,,38,45,,Aug 19,,,,,,,,YouGov-3
225.5,8,Iowa,,42,51,,Aug 16,,,,,,,,Quinnipiac U.-8
222.0,3,Iowa,,42,52,,Aug 10,,,,,,,,Suffolk U.-3
218.0,5,Iowa,,42,52,,Aug 07,,,,,,,,Marist Coll.-5
196.0,3,Iowa,,37,45,,Jul 15,,,,,,,,YouGov-3
191.5,4,Iowa,,42,52,,Jul 11,,,,,,,,Monmouth U.-4
189.5,6,Iowa,,42,52,,Jul 10,,,,,,,,Marist Coll.-6
178.0,5,Iowa,,45,46,,Jun 28,,,,,,,,Loras Coll.-5
174.5,2,Iowa,,39,46,,Jun 23,,,,,,,,PPP-2
  1.0,1,Iowa,,33,65,,Jan 01,,,,,,,,2010 Election results-1
252.5,6,Kansas,,34,50,,Sep 11,,,,,,,,PPP-6
218.0,5,Kansas,,32,52,,Aug 07,,,,,,,,SurveyUSA-5
  1.0,1,Kansas,,26,70,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Kentucky,,44,56,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Louisiana,,38,57,,Jan 01,,,,,,,,2010 Election results-1
237.0,13,Maryland,,55,26,,Aug 30,,,,,,,,OpinionWorks-13
107.0,3,Maryland,,53,25,,Apr 17,,,,,,,,PPP-3
  1.0,1,Maryland,,62,37,,Jan 01,,,,,,,,2010 Election results-1
255.0,5,Missouri,,42,40,,Sep 13,,,,,,,,Emerson Coll.-5
239.5,2,Missouri,,43,47,,Aug 27,,,,,,,,PPP-2
233.5,4,Missouri,,43,48,,Aug 22,,,,,,,,Monmouth U.-4
205.5,2,Missouri,,43,47,,Jul 24,,,,,,,,Mason Dixon-2
193.5,2,Missouri,,38,41,,Jul 12,,,,,,,,PPP-2
  1.0,1,Missouri,,39,55,,Jan 01,,,,,,,,2010 Election results-1
256.0,3,Nevada,,43,46,,Sep 13,,,,,,,,Monmouth U.-3
251.0,3,Nevada,,45,47,,Sep 08,,,,,,,,Marist Coll.-3
250.5,2,Nevada,,42,41,,Sep 07,,,,,,,,PPP-2
229.0,3,Nevada,,37,37,,Aug 17,,,,,,,,Suffolk U.-3
212.0,3,Nevada,,41,42,,Jul 31,,,,,,,,Rasmussen-3
190.5,4,Nevada,,40,42,,Jul 10,,,,,,,,Monmouth U.-4
  1.0,1,Nevada,,50,45,,Jan 01,,,,,,,,2010 Election results-1
251.0,3,New Hampshire,,44,52,,Sep 08,,,,,,,,Marist Coll.-3
248.0,3,New Hampshire,,46,48,,Sep 05,,,,,,,,Emerson College-3
243.5,2,New Hampshire,,47,44,,Aug 31,,,,,,,,PPP-2
240.0,3,New Hampshire,,47,45,,Aug 28,,,,,,,,PPP-3
237.0,9,New Hampshire,,44,42,,Aug 28,,,,,,,,U. of New Hampshire-9
224.0,3,New Hampshire,,42,41,,Aug 12,,,,,,,,YouGov-3
219.0,3,New Hampshire,,47,42,,Aug 07,,,,,,,,PPP-3
212.5,4,New Hampshire,,50,40,,Aug 01,,,,,,,,MassINC-4
202.0,3,New Hampshire,,41,49,,Jul 21,,,,,,,,Inside Sources-3
195.5,10,New Hampshire,,45,42,,Jul 18,,,,,,,,U. of New Hampshire-10
178.0,5,New Hampshire,,42,51,,Jun 28,,,,,,,,ARG-5
174.5,2,New Hampshire,,44,42,,Jun 23,,,,,,,,PPP-2
159.5,2,New Hampshire,,47,44,,Jun 08,,,,,,,,PPP-2
147.5,4,New Hampshire,,47,48,,May 28,,,,,,,,Franklin Pierce U.-4
134.5,4,New Hampshire,,48,46,,May 15,,,,,,,,MassINC-4
104.5,6,New Hampshire,,35,37,,Apr 16,,,,,,,,Dartmouth Coll.-6
103.0,11,New Hampshire,,42,43,,Apr 17,,,,,,,,U. of New Hampshire-11
 55.0,9,New Hampshire,,41,45,,Feb 28,,,,,,,,U. of New Hampshire-9
 20.0,7,New Hampshire,,40,45,,Jan 23,,,,,,,,Marist Coll.-7
  5.0,3,New Hampshire,,42,44,,Jan 06,,,,,,,,PPP-3
  1.0,1,New Hampshire,,37,60,,Jan 01,,,,,,,,2010 Election results-1
242.0,3,New York,,60,23,,Aug 30,,,,,,,,Emerson College-3
221.5,4,New York,,63,24,,Aug 10,,,,,,,,Siena Coll.-4
197.0,5,New York,,60,28,,Jul 17,,,,,,,,Quinnipiac U.-5
177.0,7,New York,,66,23,,Jun 28,,,,,,,,Siena Coll.-7
 99.5,4,New York,,55,23,,Apr 10,,,,,,,,PPP-4
 85.5,8,New York,,63,24,,Mar 29,,,,,,,,Quinnipiac U.-8
  1.0,1,New York,,62,36,,Jan 01,,,,,,,,2010 Election results-1
250.0,3,North Carolina,,37,41,,Sep 07,,,,,,,,Suffolk U.-3
247.5,8,North Carolina,,43,49,,Sep 07,,,,,,,,Quinnipiac U.-8
244.5,4,North Carolina,,41,40,,Sep 02,,,,,,,,YouGov-4
241.0,3,North Carolina,,41,45,,Aug 29,,,,,,,,Emerson College-3
239.5,2,North Carolina,,43,46,,Aug 27,,,,,,,,PPP-2
234.5,4,North Carolina,,43,45,,Aug 23,,,,,,,,Monmouth U.-4
233.5,6,North Carolina,,45,50,,Aug 23,,,,,,,,Opinion Research-6
220.0,7,North Carolina,,46,44,,Aug 10,,,,,,,,Marist Coll.-7
219.0,3,North Carolina,,37,41,,Aug 07,,,,,,,,PPP-3
190.0,7,North Carolina,,41,48,,Jul 11,,,,,,,,Marist Coll.-7
172.5,2,North Carolina,,37,40,,Jun 21,,,,,,,,PPP-2
142.0,3,North Carolina,,36,39,,May 22,,,,,,,,PPP-3
114.0,3,North Carolina,,36,40,,Apr 24,,,,,,,,PPP-3
103.5,6,North Carolina,,33,37,,Apr 15,,,,,,,,Elon U.-6
 79.0,3,North Carolina,,35,40,,Mar 20,,,,,,,,PPP-3
 46.0,3,North Carolina,,37,45,,Feb 16,,,,,,,,SurveyUSA-3
 18.5,2,North Carolina,,33,43,,Jan 19,,,,,,,,PPP-2
  1.0,1,North Carolina,,43,55,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,North Dakota,,22,76,,Jan 01,,,,,,,,2010 Election results-1
257.0,3,Ohio,,31,39,,Sep 14,,,,,,,,Suffolk U.-3
254.5,4,Ohio,,36,53,,Sep 12,,,,,,,,Selzer-4
253.5,6,Ohio,,37,58,,Sep 12,,,,,,,,Opinion Research-6
247.5,8,Ohio,,40,51,,Sep 07,,,,,,,,Quinnipiac U.-8
239.5,2,Ohio,,39,48,,Aug 27,,,,,,,,PPP-2
239.0,3,Ohio,,25,40,,Aug 27,,,,,,,,Emerson Coll.-3
232.5,4,Ohio,,40,48,,Aug 21,,,,,,,,Monmouth U.-4
231.0,3,Ohio,,39,46,,Aug 19,,,,,,,,YouGov-3
218.0,5,Ohio,,43,48,,Aug 07,,,,,,,,Marist Coll.-5
216.0,9,Ohio,,40,49,,Aug 07,,,,,,,,Quinnipiac U.-9
205.0,3,Ohio,,38,43,,Jul 24,,,,,,,,PPP-3
189.5,6,Ohio,,44,44,,Jul 10,,,,,,,,Marist Coll.-6
187.5,12,Ohio,,40,47,,Jul 11,,,,,,,,Quinnipiac U.-12
174.5,2,Ohio,,39,40,,Jun 23,,,,,,,,PPP-2
165.5,12,Ohio,,42,42,,Jun 19,,,,,,,,Quinnipiac U.-12
160.5,2,Ohio,,42,46,,Jun 09,,,,,,,,PPP-2
123.5,12,Ohio,,43,42,,May 08,,,,,,,,Quinnipiac U.-12
117.5,2,Ohio,,38,38,,Apr 27,,,,,,,,PPP-2
 65.0,3,Ohio,,41,40,,Mar 06,,,,,,,,PPP-3
 49.0,5,Ohio,,40,44,,Feb 20,,,,,,,,Baldwin Wallace U.-5
 49.0,5,Ohio,,44,42,,Feb 20,,,,,,,,Quinnipiac U.-5
  1.0,1,Ohio,,39,57,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Oklahoma,,26,71,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,Oregon,,56,41,,Jan 01,,,,,,,,2010 Election results-1
247.5,8,Pennsylvania,,45,46,,Sep 07,,,,,,,,Quinnipiac U.-8
244.5,4,Pennsylvania,,39,39,,Sep 02,,,,,,,,YouGov-4
243.5,2,Pennsylvania,,44,41,,Aug 31,,,,,,,,PPP-2
240.5,4,Pennsylvania,,45,41,,Aug 29,,,,,,,,Monmouth U.-4
240.0,5,Pennsylvania,,43,38,,Aug 29,,,,,,,,Franklin+Marshall Coll.-5
239.5,2,Pennsylvania,,46,40,,Aug 27,,,,,,,,PPP-2
239.5,4,Pennsylvania,,39,46,,Aug 28,,,,,,,,Emerson Coll.-4
218.0,5,Pennsylvania,,48,44,,Aug 07,,,,,,,,Marist Coll.-5
216.0,9,Pennsylvania,,47,44,,Aug 07,,,,,,,,Quinnipiac U.-9
212.5,4,Pennsylvania,,39,38,,Aug 01,,,,,,,,Franklin+Marshall Coll.-4
212.0,3,Pennsylvania,,41,42,,Jul 31,,,,,,,,PPP-3
208.0,3,Pennsylvania,,43,36,,Jul 27,,,,,,,,Suffolk U.-3
189.5,6,Pennsylvania,,47,44,,Jul 10,,,,,,,,Marist Coll.-6
187.5,12,Pennsylvania,,39,49,,Jul 11,,,,,,,,Quinnipiac U.-12
174.5,2,Pennsylvania,,39,40,,Jun 23,,,,,,,,PPP-2
165.5,12,Pennsylvania,,40,49,,Jun 19,,,,,,,,Quinnipiac U.-12
160.5,2,Pennsylvania,,42,45,,Jun 09,,,,,,,,PPP-2
156.0,3,Pennsylvania,,38,41,,Jun 05,,,,,,,,PPP-3
123.5,12,Pennsylvania,,44,45,,May 08,,,,,,,,Quinnipiac U.-12
 92.5,6,Pennsylvania,,38,47,,Apr 04,,,,,,,,Quinnipiac U.-6
 77.0,3,Pennsylvania,,34,47,,Mar 18,,,,,,,,Mercyhurst Coll.-3
  1.0,1,Pennsylvania,,49,51,,Jan 01,,,,,,,,2010 Election results-1
222.5,2,South Carolina,,28,45,,Aug 10,,,,,,,,PPP-2
  1.0,1,South Carolina,,28,63,,Jan 01,,,,,,,,2010 Election results-1
  1.0,1,South Dakota,,0,99,,Jan 01,,,,,,,,2010 Election results-1
233.0,3,Utah,,21,51,,Aug 21,,,,,,,,PPP-3
208.0,19,Utah,,22,57,,Aug 04,,,,,,,,Dan Jones-19
  1.0,1,Utah,,32,62,,Jan 01,,,,,,,,2010 Election results-1
247.5,4,Vermont,,57,34,,Sep 05,,,,,,,,Emerson College-4
199.0,13,Vermont,,66,24,,Jul 23,,,,,,,,Castleton State Coll.-13
  1.0,1,Vermont,,64,31,,Jan 01,,,,,,,,2010 Election results-1
224.0,5,Washington,,52,34,,Aug 13,,,,,,,,Elway Poll-5
  1.0,1,Washington,,52,48,,Jan 01,,,,,,,,2010 Election results-1
241.5,4,Wisconsin,,54,41,,Aug 30,,,,,,,,Monmouth U.-4
239.5,2,Wisconsin,,49,42,,Aug 27,,,,,,,,PPP-2
239.5,4,Wisconsin,,48,45,,Aug 28,,,,,,,,Marquette Law School-4
238.0,1,Wisconsin,,55,37,,Aug 25,,,,,,,,Global Strategy-1
218.5,4,Wisconsin,,53,42,,Aug 07,,,,,,,,Marquette Law School-4
190.5,4,Wisconsin,,49,44,,Jul 10,,,,,,,,Marquette Law School-4
174.5,2,Wisconsin,,50,37,,Jun 23,,,,,,,,PPP-2
159.5,4,Wisconsin,,51,42,,Jun 09,,,,,,,,Marquette Law School-4
104.5,4,Wisconsin,,51,41,,Apr 15,,,,,,,,St. Norbert Coll.-4
 92.0,5,Wisconsin,,48,44,,Apr 03,,,,,,,,Emerson Coll.-5
 86.0,5,Wisconsin,,47,44,,Mar 28,,,,,,,,Marquette Law School-5
 50.5,4,Wisconsin,,49,37,,Feb 21,,,,,,,,Marquette Law School-4
 22.5,4,Wisconsin,,50,37,,Jan 24,,,,,,,,Marquette Law School-4
  1.0,1,Wisconsin,,46,53,,Jan 01,,,,,,,,2010 Election results-1
